Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-628,2000,101960851.016899,50980.4,509.804
iot-0-629,2000,101960330.616899,50980.2,509.802
iot-0-630,2000,101962047.936900,50981,509.81
iot-0-631,2000,101961839.776900,50980.9,509.809
iot-0-632,2000,101961423.456900,50980.7,509.807
iot-0-633,2000,101959185.736899,50979.6,509.796
iot-0-634,2000,101961111.216900,50980.6,509.805
iot-0-635,2000,101960642.856899,50980.3,509.803
iot-0-636,2000,101960486.736899,50980.2,509.802
iot-0-637,2000,101962672.416899,50981.3,509.813
iot-0-638,2000,101961163.256899,50980.6,509.806
iot-0-639,2000,101961319.376900,50980.7,509.806
iot-0-640,2000,101960434.696899,50980.2,509.802
iot-0-641,2000,101960746.936899,50980.4,509.804
iot-0-642,2000,101961007.238075,50980.5,509.805
iot-0-643,2000,101961475.496899,50980.7,509.807
iot-0-644,2000,101962568.336900,50981.3,509.813
iot-0-645,2000,101963453.016900,50981.7,509.817
iot-0-646,2000,101962308.136900,50981.2,509.811
iot-0-647,2000,101961527.536900,50980.8,509.808
iot-0-648,2000,101961943.856899,50981,509.81
iot-0-649,2000,101960590.816899,50980.3,509.803
iot-0-650,2000,101960955.096899,50980.5,509.805
iot-0-651,2000,101962776.496899,50981.4,509.814
iot-0-652,2000,101962412.216900,50981.2,509.812
iot-0-653,2000,101962204.056900,50981.1,509.811
iot-0-654,2000,101960382.656899,50980.2,509.802
iot-0-655,2000,101961371.416899,50980.7,509.807
iot-0-656,2000,101962724.456900,50981.4,509.813
iot-0-657,2000,101961683.656900,50980.8,509.808
iot-0-658,2000,101961267.336900,50980.6,509.806
iot-0-659,2000,101962152.016900,50981.1,509.811
iot-0-660,2000,101962100.078076,50981.1,509.81
iot-0-661,2000,101961059.176899,50980.5,509.805
iot-0-662,2000,101963348.936900,50981.7,509.817
iot-0-663,2000,101961787.736899,50980.9,509.809
iot-0-664,2000,101962360.176900,50981.2,509.812
iot-0-665,2000,101963140.776900,50981.6,509.816
iot-0-666,2000,101962828.536900,50981.4,509.814
iot-0-667,2000,101961735.696900,50980.9,509.809
iot-0-668,2000,101962932.616900,50981.5,509.815
iot-0-669,2000,101961995.896899,50981,509.81
iot-0-670,2000,101962672.518076,50981.3,509.813
iot-0-671,2000,101963713.216899,50981.9,509.818
iot-0-672,2000,101964077.496900,50982,509.82
iot-0-673,2000,101963088.736899,50981.5,509.815
iot-0-674,2000,101962880.576899,50981.4,509.814
iot-0-675,2000,101964233.616899,50982.1,509.821
iot-0-676,2000,101961579.576899,50980.8,509.808
iot-0-677,2000,101962984.656900,50981.5,509.815
iot-0-678,2000,101962256.096900,50981.1,509.811
iot-0-679,2000,101963765.256899,50981.9,509.819
iot-0-680,2000,101964181.576899,50982.1,509.821
iot-0-681,2000,101962464.256899,50981.2,509.812
iot-0-682,2000,101963921.376900,50982,509.819
iot-0-683,2000,101963973.416900,50982,509.82
iot-0-684,2000,101963192.816900,50981.6,509.816
iot-0-685,2000,101963557.096900,50981.8,509.818
iot-0-686,2000,101965014.216900,50982.5,509.825
iot-0-687,2000,101964493.816900,50982.2,509.822
iot-0-688,2000,101961891.816899,50980.9,509.809
iot-0-689,2000,101963296.896899,50981.6,509.816
iot-0-690,2000,101963609.136900,50981.8,509.818
iot-0-691,2000,101962516.296900,50981.3,509.812
iot-0-692,2000,101963400.976899,50981.7,509.817
iot-0-693,2000,101964025.456900,50982,509.82
iot-0-694,2000,101962620.376900,50981.3,509.813
iot-0-695,2000,101963817.296899,50981.9,509.819
iot-0-696,2000,101963869.336900,50981.9,509.819
iot-0-697,2000,101965170.336899,50982.6,509.826
iot-0-698,2000,101965638.696900,50982.8,509.828
iot-0-699,2000,101964285.656900,50982.1,509.821
iot-0-700,2000,101964441.776900,50982.2,509.822
iot-0-701,2000,101964701.976899,50982.4,509.823
iot-0-702,2000,101964389.736899,50982.2,509.822
iot-0-703,2000,101963505.056900,50981.8,509.817
iot-0-704,2000,101966731.536899,50983.4,509.834
iot-0-705,2000,101963244.856900,50981.6,509.816
iot-0-706,2000,101964545.856899,50982.3,509.823
iot-0-707,2000,101963036.696900,50981.5,509.815
iot-0-708,2000,101965170.438076,50982.6,509.826
iot-0-709,2000,101965378.496899,50982.7,509.827
iot-0-710,2000,101964649.936899,50982.3,509.823
iot-0-711,2000,101965118.296900,50982.6,509.825
iot-0-712,2000,101964337.696900,50982.2,509.822
iot-0-713,2000,101965066.256899,50982.5,509.825
iot-0-714,2000,101964597.896899,50982.3,509.823
iot-0-715,2000,101965274.416899,50982.6,509.826
iot-0-716,2000,101966107.056899,50983.1,509.83
iot-0-717,2000,101963661.176899,50981.8,509.818
iot-0-718,2000,101964754.016899,50982.4,509.824
iot-0-719,2000,101965482.576899,50982.7,509.827
