Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time Execution, Waiting Time
iot-0-63,10,2438.97,243.90,348.35
iot-0-64,10,2355.67,235.57,336.45
iot-0-65,10,2428.63,242.86,346.87
iot-0-66,10,2421.59,242.16,345.86
iot-0-67,10,2429.20,242.92,346.95
iot-0-68,10,2340.78,234.08,334.32
iot-0-69,10,2381.09,238.11,340.08
iot-0-70,10,2380.66,238.07,340.02
iot-0-71,10,2341.10,234.11,334.36
iot-0-72,10,2454.62,245.46,350.58
iot-0-73,10,2329.00,232.90,332.64
iot-0-74,10,2366.73,236.67,338.03
iot-0-75,10,2400.48,240.05,342.85
iot-0-76,10,2441.12,244.11,348.65
iot-0-77,10,2423.17,242.32,346.09
iot-0-78,10,2352.36,235.24,335.97
iot-0-79,10,2439.54,243.95,348.43
iot-0-80,10,2420.01,242.00,345.64
iot-0-81,10,2416.71,241.67,345.17
iot-0-82,10,2410.24,241.02,344.24
iot-0-83,10,2323.25,232.32,331.82
iot-0-84,10,2358.83,235.88,336.90
iot-0-85,10,2368.74,236.87,338.31
iot-0-86,10,2336.29,233.63,333.68
iot-0-87,10,2403.06,240.31,343.22
iot-0-88,10,2397.17,239.72,342.38
iot-0-89,10,2366.15,236.62,337.94
iot-0-90,10,2417.57,241.76,345.29
iot-0-91,10,2455.05,245.51,350.64
iot-0-92,10,2353.51,235.35,336.14
iot-0-93,10,2460.65,246.07,351.44
iot-0-94,10,2409.96,241.00,344.20
iot-0-95,10,2354.09,235.41,336.22
iot-0-96,10,2459.07,245.91,351.22
iot-0-97,10,2382.81,238.28,340.32
iot-0-98,10,2334.03,233.40,333.36
iot-0-99,10,2332.55,233.25,333.14
iot-0-100,10,2378.22,237.82,339.67
iot-0-101,10,2399.18,239.92,342.66
iot-0-102,10,2407.80,240.78,343.89
iot-0-103,10,2358.11,235.81,336.80
iot-0-104,10,2390.85,239.09,341.47
iot-0-105,10,2454.48,245.45,350.56
iot-0-106,10,2419.00,241.90,345.49
iot-0-107,10,2434.80,243.48,347.75
iot-0-108,10,2453.47,245.35,350.42
iot-0-109,10,2317.64,231.76,331.01
iot-0-110,10,2330.43,233.04,332.84
iot-0-111,10,2317.96,231.80,331.06
iot-0-112,10,2393.58,239.36,341.86
iot-0-113,10,2373.91,237.39,339.05
iot-0-114,10,2400.05,240.00,342.79
iot-0-115,10,2441.26,244.13,348.67
iot-0-116,10,2394.30,239.43,341.97
