Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-403,2000,93645170.841838,46822.6,468.225
iot-0-404,2000,93659585.921838,46829.8,468.297
iot-0-405,2000,93623001.903012,46811.5,468.114
iot-0-406,2000,93654798.241838,46827.4,468.273
iot-0-407,2000,93615716.606541,46807.9,468.077
iot-0-408,2000,93646055.521838,46823,468.229
iot-0-409,2000,93631328.201836,46815.7,468.155
iot-0-410,2000,93616600.983012,46808.3,468.082
iot-0-411,2000,93651363.601838,46825.7,468.256
iot-0-412,2000,93635907.721837,46818,468.178
iot-0-413,2000,93655995.161838,46828,468.279
iot-0-414,2000,93644806.561838,46822.4,468.223
iot-0-415,2000,93658909.401839,46829.5,468.293
iot-0-416,2000,93623730.361836,46811.9,468.118
iot-0-417,2000,93654746.201838,46827.4,468.273
iot-0-418,2000,93644754.623014,46822.4,468.223
iot-0-419,2000,93625239.521836,46812.6,468.125
iot-0-420,2000,93622949.761836,46811.5,468.114
iot-0-421,2000,93650426.983014,46825.2,468.251
iot-0-422,2000,93658024.721838,46829,468.289
iot-0-423,2000,93661043.041839,46830.5,468.304
iot-0-424,2000,93648345.281838,46824.2,468.241
iot-0-425,2000,93647512.641838,46823.8,468.236
iot-0-426,2000,93647252.441838,46823.6,468.235
iot-0-427,2000,93635283.241837,46817.6,468.175
iot-0-428,2000,93627737.441836,46813.9,468.138
iot-0-429,2000,93644962.681838,46822.5,468.224
iot-0-430,2000,93634502.641837,46817.3,468.171
iot-0-431,2000,93642568.841837,46821.3,468.212
iot-0-432,2000,93632316.961837,46816.2,468.16
iot-0-433,2000,93640747.543013,46820.4,468.203
iot-0-434,2000,93629038.441837,46814.5,468.144
iot-0-435,2000,93645274.921838,46822.6,468.225
iot-0-436,2000,93650999.321838,46825.5,468.254
iot-0-437,2000,93637468.921837,46818.7,468.186
iot-0-438,2000,93655370.681838,46827.7,468.276
iot-0-439,2000,93618890.641836,46809.4,468.093
iot-0-440,2000,93649698.321838,46824.8,468.247
iot-0-441,2000,93648553.441838,46824.3,468.242
iot-0-442,2000,93622377.321836,46811.2,468.111
iot-0-443,2000,93645743.281838,46822.9,468.228
iot-0-444,2000,93619879.401836,46809.9,468.098
iot-0-445,2000,93628049.681836,46814,468.139
iot-0-446,2000,93635335.383013,46817.7,468.176
iot-0-447,2000,93622481.401836,46811.2,468.111
iot-0-448,2000,93659690.001838,46829.8,468.297
iot-0-449,2000,93641528.041837,46820.8,468.207
iot-0-450,2000,93638769.921837,46819.4,468.193
iot-0-451,2000,93631744.521837,46815.9,468.158
iot-0-452,2000,93621232.543012,46810.6,468.105
iot-0-453,2000,93620295.721836,46810.1,468.1
iot-0-454,2000,93618942.681835,46809.5,468.094
iot-0-455,2000,93651727.881838,46825.9,468.258
iot-0-456,2000,93660366.521839,46830.2,468.301
iot-0-457,2000,93623938.521836,46812,468.119
iot-0-458,2000,93619150.841836,46809.6,468.095
iot-0-459,2000,93652092.161838,46826,468.259
iot-0-460,2000,93653341.121838,46826.7,468.266
iot-0-461,2000,93639446.441837,46819.7,468.196
iot-0-462,2000,93655058.644191,46827.5,468.274
iot-0-463,2000,93656307.401839,46828.2,468.28
iot-0-464,2000,93629871.081837,46814.9,468.148
iot-0-465,2000,93647772.841838,46823.9,468.238
iot-0-466,2000,93630443.521837,46815.2,468.151
